"Part";"Value";"Device";"Package";"Description";"DIGIKEY#";"DIGIKEY2#";"DIGIKEY3#";"DIGIKEY4#";"MANF";"MANF#";"MANF2";"MANF2#";"MANF3";"MANF3#";"MANF4";"MANF4#";
"C1";"100nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"Vishay BC Components";"K104K15X7RF5TL2";"";"";"";"";"";"";
"C2";"2.2nF";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"BC1029CT-ND";"";"";"";"Vishay BC Components";"K222J15C0GF5TL2";"";"";"";"";"";"";
"C3";"1u";"C-US050-024X044";"C050-024X044";"CAPACITOR, American symbol";"445-8614-ND";"";"";"";"TDK Corporation";"FK28X7R1C105K";"";"";"";"";"";"";
"C4";"100nF";"C-US025-060X050";"C025-060X050";"CAPACITOR, American symbol";"445-8325-ND";"";"";"";"TDK Corporation";"FK16C0G1H104J";"";"";"";"";"";"";
"C5";"100nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";"";"";
"C6";"100n";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"";"";"";"";"";
"C7";"220µF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"P5166-ND";"";"";"";"Panasonic Electronic Components";"ECA-1VM221";"";"";"";"";"";"";
"C8";"0.33µ";"C-US025-050X050";"C025-050X050";"CAPACITOR, American symbol";"445-5312-ND ";"";"";"";"TDK Corporation";"FK14X7R1H334K";"";"";"";"";"";"";
"C9";"22µ";"C-US050-045X075";"C050-045X075";"CAPACITOR, American symbol";"445-8455-ND";"";"";"";"TDK Corporation";"FK20X7R1C226M";"";"";"";"";"";"";
"C10";"0.33µ";"C-US025-050X050";"C025-050X050";"CAPACITOR, American symbol";"445-5312-ND ";"";"";"";"TDK Corporation";"FK14X7R1H334K";"";"";"";"";"";"";
"D1";"1N4935";"1N4004";"DO41-10";"DIODE";"1N4935FSCT-ND";"";"";"";"Fairchild Semiconductor";"1N4935";"";"";"";"";"";"";
"IC1";"";"LM317L";"317L";"VOLTAGE REGULATOR";"296-33312-5-ND";"";"";"";"Texas Instruments";"LM317LCLP";"";"";"";"";"";"";
"IC2";"";"MCP3301";"DIL08";"";"MCP3301-BI/P-ND";"AE9986-ND";"";"";"Microchip Technology";"MCP3301-BI/P";"";"";"";"";"";"";
"IC3";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"LM7805CT-ND ";"";"";"";"Fairchild Semiconductor";"LM7805CT";"";"";"";"";"";"";
"J1";"2.1MMJACKTHM";"2.1MMJACKTHM";"PJ-102A";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"CP-102A-ND ";"T1071-P5P-ND ";"";"";"CUI Inc";"PJ-102A";"CUI Inc";"EPSA120200U-P5P-SZ";"";"";"";"";
"JP1";"LED";"LED_CXN";"1X02_SCREW";"";"475-3002-ND";"492-1502-ND";"";"";"OSRAM Opto Semiconductors Inc";"SFH 4547";"Bivar Inc";"CR-174";"";"";"";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"160-1139-ND";"";"";"";"Lite-On Inc";"LTL-4221N";"";"";"";"";"";"";
"Q1";"";"LTR-4206";"3MM_LED";"";"160-1030-ND";"";"";"";"Lite-On Inc";"LTR-4206E";"";"";"";"";"";"";
"Q2";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"";"";"";"";"";"";"";"";"";"";"";
"Q3";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"";"";"";"International Rectifier";"IRLB8721PBF";"";"";"";"";"";"";
"Q4";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"";"";"";"International Rectifier";"IRLB8721PBF";"";"";"";"";"";"";
"R1";"1K0";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"S1KCACT-ND ";"";"";"";"Stackpole Electronics Inc";"RNMF14FTC1K00";"";"";"";"";"";"";
"R2";"120";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S120CACT-ND";"";"";"";"Stackpole Electronics Inc";"RNMF14FTC120R";"";"";"";"";"";"";
"R3";"120";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S120CACT-ND";"";"";"";"Stackpole Electronics Inc";"RNMF14FTC120R";"";"";"";"";"";"";
"R4";"10K";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"S10KCACT-ND ";"";"";"";"Stackpole Electronics Inc";"RNMF14FTC10K0";"";"";"";"";"";"";
"R5";"10R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"PPC10W-1CT-ND";"";"";"";"Vishay BC Components";"PR01000101009JR500";"";"";"";"";"";"";
"R6";"2M0";"R-US_0309/V";"0309V";"RESISTOR, American symbol";"RNV14FAL2M00TB-ND";"";"";"";"Stackpole Electronics Inc";"RNV14FAL2M00";"";"";"";"";"";"";
"R7";"4K7";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S4.7KQCT-ND";"";"";"";"Stackpole Electronics Inc";"CFM14JT4K70";"";"";"";"";"";"";
"R8";"4K7";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S4.7KQCT-ND";"";"";"";"Stackpole Electronics Inc";"CFM14JT4K70";"";"";"";"";"";"";
"R9";"330";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"CF14JT330RCT-ND ";"";"";"";"Stackpole Electronics Inc";"CF14JT330R";"";"";"";"";"";"";
"T1";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";
"T2";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";
"U1";"";"LMC6482";"DIL08";"";"LMC6482AIN/NOPB-ND";"AE9986-ND";"";"";"Texas Instruments";"LMC6482AIN/NOPB";"";"";"";"";"";"";
"U2";"MotA";"1X02_MOTOR";"1X02_SCREW";"";"SC1455-ND";"";"";"";"Switchcraft Inc.";"35PM1";"";"";"";"";"";"";
"U3";"";"ARDUINOMICRO";"ARDUINOMICRO";"";"1050-1066-ND";"S7050-ND";"S7050-ND";"AE10419-ND";"Arduino";"A000053";"Sullins Connector Solutions";"PPPC171LFBN-RC";"Sullins Connector Solutions";"PPPC171LFBN-RC";"Assmann WSW Components";"AK67421-1";
